brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,screen_size,memory_size,battery_size,release_date
ZTE,Blade A3 2020 1/32GB Grey,Android,619,2014,1839,2099,5.45,32,2600,Mar-20
ZTE,Blade A3 2020 1/32GB Red,Android,446,2021,1839,2332,5.45,32,2600,Aug-20
ZTE,Blade A5 2/16GB Black,Android,782,1999,,,5.45,16,2600,May-19
ZTE,Blade A5 2/16GB Blue,Android,601,1999,,,5.45,16,2600,Jun-19
ZTE,Blade A5 2/16GB Blue,Android,594,1999,,,5.45,16,2600,Jun-19
ZTE,Blade A5 2/32GB Black,Android,706,2257,2199,2315,5.45,32,2600,Jul-20
ZTE,Blade A5 2/32GB Blue,Android,529,2435,2199,2599,5.45,32,2600,Jun-19
ZTE,Blade A5 2020 2/32GB Black,Android,942,2517,2299,2881,6.08,32,3200,Dec-19
ZTE,Blade A7 2019 2/32GB Black,Android,978,2590,2399,2799,6.1,32,3200,May-19
ZTE,Blade A7 2020 2/32GB Gradient,Android,1016,2783,2599,2999,6.08,32,4000,Dec-19
ZTE,Blade A7 2020 3/64GB Gradient,Android,1071,3154,3069,3499,6.08,64,4000,Dec-19
ZTE,Blade A7S 2/64GB Blue,Android,775,3052,2695,3549,6.5,64,4000,Sep-20
ZTE,Blade L210 1/32GB Black,Android,642,1801,1678,2009,6,32,2600,Sep-20
ZTE,Blade L210 1/32GB Blue,Android,399,1789,1678,1979,6,32,2600,Sep-20
ZTE,Blade L210 1/32GB Blue,Android,418,1789,1678,1979,6,32,2600,Sep-20
ZTE,Blade L8 1/16GB Black,Android,750,1552,1368,1646,5,16,2000,May-19
ZTE,Blade L8 1/16GB Blue,Android,691,1529,1368,1917,5,16,2000,Jun-19
ZTE,Blade V2020 Smart 4/128GB Grey,Android,951,4041,3755,4435,6.82,128,5000,Nov-20
ZTE,Blade V2020 Smart 4/64GB Grey,Android,941,3821,3577,4171,6.82,64,5000,Nov-20
realme,C11 2/32GB Green,Android,753,3055,2999,3179,6.5,32,5000,Jul-20
realme,C11 2/32GB Grey,Android,930,3015,2940,3179,6.5,32,5000,Jul-20
